Result for strategy MACDStrategy_crossed
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    UMA/USDT |     42 |           0.20 |           8.35 |             8.358 |           0.84 |         11:36:00 |     39 |       0 |        3 |
|   UNFI/USDT |     26 |          -0.33 |          -8.53 |            -8.542 |          -0.85 |         11:40:00 |     24 |       0 |        2 |
|    UNI/USDT |     19 |           0.82 |          15.51 |            15.523 |           1.55 |         10:17:00 |     17 |       0 |        2 |
|    UTK/USDT |     39 |           1.22 |          47.43 |            47.475 |           4.75 |          4:29:00 |     39 |       0 |        0 |
|    VET/USDT |     43 |          -0.46 |         -19.65 |           -19.668 |          -1.97 |   1 day, 0:32:00 |     40 |       0 |        3 |
|   VITE/USDT |     65 |           1.30 |          84.20 |            84.283 |           8.43 |          6:19:00 |     63 |       0 |        2 |
|   VTHO/USDT |     45 |          -0.01 |          -0.38 |            -0.383 |          -0.04 |   1 day, 5:16:00 |     43 |       0 |        2 |
|    WAN/USDT |     68 |           0.83 |          56.46 |            56.520 |           5.65 |         12:52:00 |     65 |       0 |        3 |
|  WAVES/USDT |     57 |           0.70 |          39.86 |            39.900 |           3.99 |          9:39:00 |     52 |       0 |        5 |
|    WIN/USDT |     80 |           0.21 |          16.51 |            16.524 |           1.65 |   1 day, 3:01:00 |     73 |       0 |        7 |
|   WING/USDT |     50 |           1.15 |          57.67 |            57.724 |           5.77 |          6:19:00 |     47 |       0 |        3 |
|   WNXM/USDT |     37 |           1.36 |          50.31 |            50.361 |           5.04 |         16:26:00 |     37 |       0 |        0 |
|    WRX/USDT |     49 |           1.25 |          61.16 |            61.220 |           6.12 |         11:45:00 |     48 |       0 |        1 |
|    WTC/USDT |     47 |           0.06 |           2.74 |             2.743 |           0.27 |   1 day, 1:24:00 |     44 |       0 |        3 |
|    XEM/USDT |     18 |           1.39 |          25.08 |            25.103 |           2.51 |          6:51:00 |     18 |       0 |        0 |
|    XLM/USDT |     31 |           0.41 |          12.85 |            12.860 |           1.29 |  1 day, 23:37:00 |     26 |       0 |        5 |
