Result for strategy Strategy004
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+-----------------+--------+---------+----------|
|  1INCH/USDT |     27 |           0.39 |          10.59 |            10.602 |           1.06 |         3:18:00 |     23 |       0 |        4 |
|   AAVE/USDT |     43 |          -0.28 |         -12.06 |           -12.076 |          -1.21 |         4:15:00 |     34 |       0 |        9 |
|    ACM/USDT |      7 |           1.96 |          13.70 |            13.712 |           1.37 |         1:15:00 |      7 |       0 |        0 |
|    ADA/USDT |     65 |           1.09 |          70.66 |            70.727 |           7.07 |         3:56:00 |     60 |       0 |        5 |
|   AION/USDT |     59 |           0.09 |           5.36 |             5.370 |           0.54 |         7:14:00 |     50 |       0 |        9 |
|   AKRO/USDT |     39 |          -0.68 |         -26.41 |           -26.439 |          -2.64 |         3:06:00 |     30 |       0 |        9 |
|   ALGO/USDT |     62 |           0.49 |          30.51 |            30.540 |           3.05 |         2:45:00 |     53 |       0 |        9 |
|  ALICE/USDT |      2 |          -3.59 |          -7.18 |            -7.190 |          -0.72 |         0:30:00 |      1 |       0 |        1 |
|  ALPHA/USDT |     51 |           0.27 |          13.54 |            13.554 |           1.36 |         2:50:00 |     43 |       0 |        8 |
|   ANKR/USDT |     77 |           0.30 |          23.30 |            23.320 |           2.33 |         3:20:00 |     64 |       0 |       13 |
|    ANT/USDT |     65 |           0.35 |          22.89 |            22.917 |           2.29 |         5:34:00 |     52 |       0 |       13 |
|   ARDR/USDT |     68 |           0.33 |          22.58 |            22.601 |           2.26 |         6:32:00 |     56 |       0 |       12 |
|   ARPA/USDT |     91 |           0.33 |          30.45 |            30.477 |           3.05 |         4:43:00 |     71 |       0 |       20 |
|    ASR/USDT |     37 |           1.17 |          43.29 |            43.337 |           4.33 |         2:49:00 |     33 |       0 |        4 |
|    ATM/USDT |     34 |           0.14 |           4.84 |             4.842 |           0.48 |         3:15:00 |     27 |       0 |        7 |
|   ATOM/USDT |     67 |           0.37 |          24.49 |            24.519 |           2.45 |         4:49:00 |     57 |       0 |       10 |
|  AUDIO/USDT |     63 |          -0.82 |         -51.62 |           -51.671 |          -5.17 |         4:50:00 |     48 |       0 |       15 |
|    AVA/USDT |     31 |           1.02 |          31.57 |            31.604 |           3.16 |         2:56:00 |     25 |       0 |        6 |
