Result for strategy Strategy002
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|  SUPER/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|   SUSD/USDT |      1 |           0.14 |           0.14 |             0.145 |           0.01 |          1:50:00 |      1 |       0 |        0 |
|  SUSHI/USDT |     11 |          -1.13 |         -12.38 |           -12.390 |          -1.24 |          1:35:00 |      7 |       0 |        4 |
|    SXP/USDT |      8 |          -1.05 |          -8.40 |            -8.404 |          -0.84 |          1:15:00 |      6 |       0 |        2 |
|    TCT/USDT |     20 |           0.88 |          17.57 |            17.587 |           1.76 |          1:55:00 |     18 |       0 |        2 |
|  TFUEL/USDT |     19 |          -0.63 |         -11.99 |           -12.003 |          -1.20 |         10:34:00 |     16 |       0 |        3 |
|  THETA/USDT |     24 |           0.87 |          20.81 |            20.834 |           2.08 |          6:11:00 |     20 |       0 |        4 |
|   TOMO/USDT |     16 |          -1.21 |         -19.30 |           -19.315 |          -1.93 |          5:55:00 |     10 |       0 |        6 |
|    TRB/USDT |     14 |           0.58 |           8.16 |             8.170 |           0.82 |          2:45:00 |     12 |       0 |        2 |
|   TROY/USDT |     22 |          -0.36 |          -7.81 |            -7.818 |          -0.78 |          9:26:00 |     19 |       0 |        3 |
|    TRU/USDT |      7 |           0.25 |           1.76 |             1.762 |           0.18 |          2:52:00 |      6 |       0 |        1 |
|    TRX/USDT |     18 |          -0.58 |         -10.45 |           -10.464 |          -1.05 |         23:55:00 |     13 |       0 |        5 |
|    TWT/USDT |      5 |          -5.31 |         -26.54 |           -26.567 |          -2.66 |          6:50:00 |      2 |       0 |        3 |
|    UMA/USDT |     27 |           0.99 |          26.86 |            26.886 |           2.69 |          4:46:00 |     26 |       0 |        1 |
|   UNFI/USDT |     18 |           0.47 |           8.42 |             8.426 |           0.84 |          2:03:00 |     16 |       0 |        2 |
|    UNI/USDT |     13 |          -0.25 |          -3.20 |            -3.203 |          -0.32 |          1:53:00 |     11 |       0 |        2 |
