Result for strategy MACDStrategy
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|    VET/USDT |     99 |          -0.03 |          -2.86 |            -2.865 |          -0.29 |        8:42:00 |     71 |       0 |       28 |
|   VITE/USDT |    203 |           0.41 |          82.62 |            82.703 |           8.27 |        5:52:00 |    159 |       0 |       44 |
|   VTHO/USDT |    154 |           0.30 |          46.12 |            46.166 |           4.62 |        6:06:00 |    131 |       0 |       23 |
|    WAN/USDT |    148 |           0.00 |           0.28 |             0.279 |           0.03 |        6:38:00 |    109 |       0 |       39 |
|  WAVES/USDT |    136 |           0.24 |          32.10 |            32.132 |           3.21 |        8:08:00 |    106 |       0 |       30 |
|    WIN/USDT |    178 |          -0.03 |          -5.81 |            -5.820 |          -0.58 |        7:48:00 |    129 |       0 |       49 |
|   WING/USDT |    123 |           0.35 |          42.54 |            42.586 |           4.26 |        5:55:00 |    106 |       0 |       17 |
|   WNXM/USDT |     90 |           0.56 |          50.64 |            50.686 |           5.07 |        4:54:00 |     79 |       0 |       11 |
|    WRX/USDT |    178 |           0.32 |          57.13 |            57.182 |           5.72 |        7:56:00 |    141 |       0 |       37 |
|    WTC/USDT |    155 |           0.36 |          55.35 |            55.406 |           5.54 |        6:29:00 |    128 |       0 |       27 |
|    XEM/USDT |     49 |           0.64 |          31.21 |            31.242 |           3.12 |        5:43:00 |     43 |       0 |        6 |
|    XLM/USDT |     74 |           0.48 |          35.74 |            35.771 |           3.58 |        7:22:00 |     59 |       0 |       15 |
|    XMR/USDT |     96 |           0.33 |          31.25 |            31.280 |           3.13 |        8:06:00 |     73 |       0 |       23 |
|    XRP/USDT |     87 |           0.37 |          32.45 |            32.485 |           3.25 |        8:47:00 |     68 |       0 |       19 |
|    XTZ/USDT |     77 |           0.22 |          17.02 |            17.038 |           1.70 |        7:56:00 |     65 |       0 |       12 |
|    XVS/USDT |     92 |           0.54 |          50.07 |            50.121 |           5.01 |        5:41:00 |     83 |       0 |        9 |
|    YFI/USDT |     62 |           0.27 |          16.94 |            16.955 |           1.70 |        6:55:00 |     50 |       0 |       12 |
|   YFII/USDT |     48 |          -0.58 |         -27.83 |           -27.862 |          -2.79 |        6:54:00 |     40 |       0 |        8 |
|    ZEC/USDT |     92 |           0.04 |           3.32 |             3.319 |           0.33 |        6:58:00 |     73 |       0 |       19 |
|    ZEN/USDT |    115 |           0.37 |          42.39 |            42.432 |           4.24 |        5:58:00 |     89 |       0 |       26 |
|    ZIL/USDT |    111 |           0.43 |          47.32 |            47.371 |           4.74 |        7:07:00 |     98 |       0 |       13 |
|    ZRX/USDT |    117 |           0.33 |          38.69 |            38.725 |           3.87 |        6:17:00 |     96 |       0 |       21 |
|       TOTAL |  26114 |           0.24 |        6307.34 |          6313.643 |         631.36 |        6:36:00 |  21203 |       0 |     4911 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|           roi |   19608 |  19608 |       0 |        0 |           1.3  |       25430.2  |         25455.7   |        1017.21 |
|   sell_signal |    6411 |   1593 |       0 |     4818 |          -2.62 |      -16793.7  |        -16810.5   |        -671.75 |
|     stop_loss |      76 |      0 |       0 |       76 |         -30.14 |       -2290.63 |         -2292.92  |         -91.63 |
|    force_sell |      19 |      2 |       0 |       17 |          -2.03 |         -38.58 |           -38.621 |          -1.54 |
========================================================== LEFT OPEN TRADES REPORT ===========================================================
|       Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|------------+--------+----------------+----------------+-------------------+----------------+-----------------+--------+---------+----------|
|   ACM/USDT |      1 |           0.44 |           0.44 |             0.441 |           0.04 |         1:20:00 |      1 |       0 |        0 |
|   ASR/USDT |      1 |          -0.69 |          -0.69 |            -0.695 |          -0.07 |         1:25:00 |      0 |       0 |        1 |
|   ATM/USDT |      1 |          -0.29 |          -0.29 |            -0.290 |          -0.03 |         1:25:00 |      0 |       0 |        1 |
|  DOGE/USDT |      1 |          -0.70 |          -0.70 |            -0.704 |          -0.07 |         1:45:00 |      0 |       0 |        1 |
|   ENJ/USDT |      1 |          -0.20 |          -0.20 |            -0.200 |          -0.02 |         0:00:00 |      0 |       0 |        1 |
|   FIS/USDT |      1 |          -0.55 |          -0.55 |            -0.551 |          -0.06 |         1:50:00 |      0 |       0 |        1 |
|  HIVE/USDT |      1 |         -17.04 |         -17.04 |           -17.056 |          -1.71 | 1 day, 20:45:00 |      0 |       0 |        1 |
|  NEAR/USDT |      1 |          -1.49 |          -1.49 |            -1.489 |          -0.15 |         2:15:00 |      0 |       0 |        1 |
|    OG/USDT |      1 |          -0.69 |          -0.69 |            -0.688 |          -0.07 |         0:15:00 |      0 |       0 |        1 |
