Result for strategy CombinedBinHAndCluc
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|    SRM/USDT |     71 |          -0.08 |          -5.38 |            -5.387 |          -0.54 |        1:20:00 |     45 |       0 |       26 |
|   STMX/USDT |     90 |          -0.04 |          -3.97 |            -3.969 |          -0.40 |        1:08:00 |     52 |       0 |       38 |
|  STORJ/USDT |     48 |          -0.51 |         -24.45 |           -24.471 |          -2.45 |        1:05:00 |     29 |       0 |       19 |
|   STPT/USDT |    116 |          -0.18 |         -20.56 |           -20.579 |          -2.06 |        1:30:00 |     71 |       0 |       45 |
|  STRAX/USDT |     60 |           0.81 |          48.69 |            48.741 |           4.87 |        1:09:00 |     45 |       0 |       15 |
|    STX/USDT |    112 |          -0.05 |          -5.18 |            -5.190 |          -0.52 |        1:49:00 |     70 |       0 |       42 |
|    SUN/USDT |     39 |          -0.37 |         -14.32 |           -14.333 |          -1.43 |        2:16:00 |     25 |       0 |       14 |
|  SUPER/USDT |      2 |           3.89 |           7.78 |             7.787 |           0.78 |        1:05:00 |      2 |       0 |        0 |
|   SUSD/USDT |      2 |           1.46 |           2.91 |             2.915 |           0.29 |        0:45:00 |      2 |       0 |        0 |
|  SUSHI/USDT |    130 |          -1.31 |        -169.91 |          -170.080 |         -17.01 |        0:52:00 |     60 |       0 |       70 |
|    SXP/USDT |    121 |          -0.24 |         -28.91 |           -28.937 |          -2.89 |        1:06:00 |     74 |       0 |       47 |
|    TCT/USDT |    204 |           0.37 |          75.64 |            75.717 |           7.57 |        1:52:00 |    144 |       0 |       60 |
|  TFUEL/USDT |    132 |           0.45 |          59.31 |            59.367 |           5.94 |        1:04:00 |     84 |       0 |       48 |
|  THETA/USDT |     78 |          -0.25 |         -19.64 |           -19.656 |          -1.97 |        1:12:00 |     45 |       0 |       33 |
|   TOMO/USDT |    138 |           0.45 |          61.81 |            61.875 |           6.19 |        1:14:00 |    100 |       0 |       38 |
|    TRB/USDT |    111 |          -0.30 |         -33.10 |           -33.134 |          -3.31 |        1:18:00 |     64 |       0 |       47 |
|   TROY/USDT |    211 |           0.49 |         104.19 |           104.298 |          10.43 |        1:26:00 |    162 |       0 |       49 |
|    TRU/USDT |     24 |           0.21 |           5.09 |             5.091 |           0.51 |        1:59:00 |     16 |       0 |        8 |
|    TRX/USDT |     28 |          -0.40 |         -11.17 |           -11.186 |          -1.12 |        1:01:00 |     18 |       0 |       10 |
|    TWT/USDT |     32 |          -0.14 |          -4.36 |            -4.361 |          -0.44 |        1:04:00 |     23 |       0 |        9 |
|    UMA/USDT |     40 |           0.34 |          13.55 |            13.562 |           1.36 |        1:10:00 |     24 |       0 |       16 |
|   UNFI/USDT |    123 |           0.00 |           0.55 |             0.552 |           0.06 |        1:03:00 |     78 |       0 |       45 |
