Result for strategy AdxSmas
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    UNI/USDT |      8 |          -2.20 |         -17.58 |           -17.601 |          -1.76 |         16:22:00 |      3 |       0 |        5 |
|    UTK/USDT |      6 |          -1.34 |          -8.07 |            -8.076 |          -0.81 |   1 day, 3:00:00 |      2 |       0 |        4 |
|    VET/USDT |     23 |           1.10 |          25.40 |            25.422 |           2.54 |         23:21:00 |     13 |       0 |       10 |
|   VITE/USDT |     36 |           1.58 |          57.03 |            57.083 |           5.71 |         22:03:00 |     19 |       0 |       17 |
|   VTHO/USDT |     24 |          -0.05 |          -1.21 |            -1.215 |          -0.12 |         16:42:00 |      9 |       0 |       15 |
|    WAN/USDT |     24 |           1.10 |          26.42 |            26.447 |           2.64 |   1 day, 0:15:00 |     14 |       0 |       10 |
|  WAVES/USDT |     37 |           0.12 |           4.54 |             4.540 |           0.45 |   1 day, 8:55:00 |     16 |       0 |       21 |
|    WIN/USDT |     43 |           0.28 |          11.92 |            11.935 |           1.19 |         23:57:00 |     13 |       0 |       30 |
|   WING/USDT |     16 |          -2.00 |         -32.02 |           -32.056 |          -3.21 |         13:19:00 |      7 |       0 |        9 |
|   WNXM/USDT |     19 |           1.20 |          22.78 |            22.804 |           2.28 |         22:19:00 |      9 |       0 |       10 |
|    WRX/USDT |     33 |          -0.74 |         -24.50 |           -24.522 |          -2.45 |         23:38:00 |     12 |       0 |       21 |
|    WTC/USDT |     19 |          -0.09 |          -1.76 |            -1.767 |          -0.18 |         21:09:00 |      9 |       0 |       10 |
|    XEM/USDT |      7 |          -0.14 |          -0.95 |            -0.951 |          -0.10 |         11:26:00 |      4 |       0 |        3 |
|    XLM/USDT |     20 |          -0.14 |          -2.87 |            -2.875 |          -0.29 |         22:27:00 |     10 |       0 |       10 |
|    XMR/USDT |     25 |          -0.40 |          -9.97 |            -9.978 |          -1.00 |         20:12:00 |     10 |       0 |       15 |
|    XRP/USDT |     18 |           0.66 |          11.86 |            11.876 |           1.19 |         20:57:00 |     10 |       0 |        8 |
|    XTZ/USDT |     19 |           1.84 |          34.94 |            34.976 |           3.50 |         15:47:00 |      9 |       0 |       10 |
|    XVS/USDT |     25 |           2.55 |          63.66 |            63.727 |           6.37 |          9:58:00 |     17 |       0 |        8 |
|    YFI/USDT |     20 |           4.42 |          88.49 |            88.578 |           8.86 |         14:03:00 |     13 |       0 |        7 |
|   YFII/USDT |     10 |           1.41 |          14.10 |            14.114 |           1.41 |         11:54:00 |      4 |       0 |        6 |
|    ZEC/USDT |     16 |          -0.14 |          -2.28 |            -2.278 |          -0.23 |         22:34:00 |      8 |       0 |        8 |
