Result for strategy ADX_15M_USDT
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|  OCEAN/USDT |     41 |           0.30 |          12.15 |            12.167 |           1.22 |          13:40:00 |     21 |      14 |        6 |
|     OG/USDT |     24 |           0.57 |          13.71 |            13.721 |           1.37 |           8:42:00 |     15 |       5 |        4 |
|    OGN/USDT |     63 |           0.47 |          29.65 |            29.680 |           2.97 |          12:18:00 |     37 |      20 |        6 |
|     OM/USDT |      5 |           3.46 |          17.30 |            17.322 |           1.73 |           5:57:00 |      4 |       1 |        0 |
|    OMG/USDT |     46 |           1.06 |          48.55 |            48.603 |           4.86 |          17:11:00 |     27 |      14 |        5 |
|    ONE/USDT |     79 |           1.07 |          84.27 |            84.356 |           8.44 |          14:40:00 |     42 |      30 |        7 |
|    ONG/USDT |     59 |           0.65 |          38.21 |            38.248 |           3.82 |          14:31:00 |     38 |      16 |        5 |
|    ONT/USDT |     41 |           0.57 |          23.23 |            23.256 |           2.33 |          18:58:00 |     19 |      19 |        3 |
|    ORN/USDT |     39 |          -1.23 |         -47.80 |           -47.844 |          -4.78 |          12:00:00 |     17 |      13 |        9 |
|    OXT/USDT |     37 |           1.04 |          38.59 |            38.633 |           3.86 |          10:06:00 |     21 |      13 |        3 |
|   PAXG/USDT |     13 |          -1.08 |         -14.02 |           -14.032 |          -1.40 | 14 days, 14:40:00 |      3 |       8 |        2 |
|   PERL/USDT |     78 |           0.34 |          26.50 |            26.525 |           2.65 |          11:52:00 |     47 |      20 |       11 |
|   PERP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|    PNT/USDT |     64 |           1.21 |          77.45 |            77.525 |           7.75 |          11:42:00 |     31 |      29 |        4 |
|   POND/USDT |      6 |           0.40 |           2.37 |             2.377 |           0.24 |          10:45:00 |      1 |       4 |        1 |
|    PSG/USDT |     16 |           1.62 |          25.85 |            25.878 |           2.59 |          14:59:00 |      9 |       6 |        1 |
|   QTUM/USDT |     38 |           0.02 |           0.69 |             0.691 |           0.07 |          23:38:00 |     18 |      16 |        4 |
|   RAMP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|   REEF/USDT |     23 |           0.63 |          14.58 |            14.599 |           1.46 |           9:31:00 |     12 |       7 |        4 |
|    REN/USDT |     69 |           0.88 |          60.82 |            60.883 |           6.09 |          15:02:00 |     46 |      15 |        8 |
|    REP/USDT |     52 |           0.39 |          20.31 |            20.326 |           2.03 |          16:12:00 |     27 |      22 |        3 |
|    RIF/USDT |     20 |           2.83 |          56.67 |            56.729 |           5.67 |           6:56:00 |     13 |       7 |        0 |
|    RLC/USDT |     55 |           0.61 |          33.32 |            33.354 |           3.34 |          16:45:00 |     31 |      18 |        6 |
|   ROSE/USDT |     33 |           0.07 |           2.43 |             2.428 |           0.24 |          11:13:00 |     18 |      10 |        5 |
|    RSR/USDT |     37 |          -1.27 |         -47.17 |           -47.218 |          -4.72 |           9:50:00 |     16 |      11 |       10 |
|   RUNE/USDT |     38 |           2.71 |         102.86 |           102.959 |          10.30 |           6:49:00 |     29 |       6 |        3 |
|    RVN/USDT |     62 |           0.46 |          28.73 |            28.759 |           2.88 |          19:26:00 |     36 |      21 |        5 |
|   SAND/USDT |     48 |          -1.56 |         -75.06 |           -75.131 |          -7.51 |          12:38:00 |     25 |       9 |       14 |
|     SC/USDT |     54 |          -0.35 |         -19.03 |           -19.053 |          -1.91 |          16:17:00 |     28 |      18 |        8 |
