Result for strategy Strategy005
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|    TCT/USDT |    384 |           0.46 |         175.01 |           175.185 |          17.52 |         4:13:00 |    332 |       0 |       52 |
|  TFUEL/USDT |    279 |           0.46 |         128.24 |           128.373 |          12.84 |         3:36:00 |    227 |       0 |       52 |
|  THETA/USDT |    158 |           0.06 |           9.28 |             9.285 |           0.93 |         4:07:00 |    125 |       0 |       33 |
|   TOMO/USDT |    234 |           0.37 |          86.57 |            86.652 |           8.67 |         4:03:00 |    184 |       0 |       50 |
|    TRB/USDT |     85 |          -0.33 |         -28.09 |           -28.117 |          -2.81 |         2:16:00 |     66 |       0 |       19 |
|   TROY/USDT |    340 |           0.61 |         208.67 |           208.875 |          20.89 |         4:31:00 |    289 |       0 |       51 |
|    TRU/USDT |     77 |           0.19 |          14.41 |            14.426 |           1.44 |         2:40:00 |     63 |       0 |       14 |
|    TRX/USDT |     63 |          -0.25 |         -15.61 |           -15.629 |          -1.56 |        11:27:00 |     45 |       0 |       18 |
|    TWT/USDT |     37 |           0.73 |          27.01 |            27.032 |           2.70 |         3:09:00 |     30 |       0 |        7 |
|    UMA/USDT |    136 |           0.10 |          13.51 |            13.528 |           1.35 |         3:08:00 |    109 |       0 |       27 |
|   UNFI/USDT |     79 |           0.69 |          54.54 |            54.593 |           5.46 |         2:03:00 |     71 |       0 |        8 |
|    UNI/USDT |     38 |          -0.13 |          -5.09 |            -5.093 |          -0.51 |         3:15:00 |     30 |       0 |        8 |
|    UTK/USDT |    134 |           0.02 |           2.93 |             2.938 |           0.29 |         3:22:00 |    105 |       0 |       29 |
|    VET/USDT |     61 |           0.49 |          29.59 |            29.617 |           2.96 |         3:36:00 |     47 |       0 |       14 |
|   VITE/USDT |    349 |           0.41 |         143.63 |           143.769 |          14.38 |         4:32:00 |    301 |       0 |       48 |
|   VTHO/USDT |    244 |           0.41 |         101.10 |           101.204 |          10.12 |         2:58:00 |    207 |       0 |       37 |
