Result for strategy Strategy003
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |     16 |           1.04 |          16.61 |            16.624 |           1.66 |          3:49:00 |     15 |       0 |        1 |
|   AAVE/USDT |     20 |           1.41 |          28.27 |            28.297 |           2.83 |          2:42:00 |     20 |       0 |        0 |
|    ACM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|    ADA/USDT |     30 |           0.51 |          15.38 |            15.394 |           1.54 |          8:25:00 |     24 |       0 |        6 |
|   AION/USDT |     41 |          -0.05 |          -2.19 |            -2.195 |          -0.22 |          6:55:00 |     35 |       0 |        6 |
|   AKRO/USDT |     17 |           0.40 |           6.85 |             6.854 |           0.69 |          1:43:00 |     15 |       0 |        2 |
|   ALGO/USDT |     72 |           0.42 |          29.96 |            29.987 |           3.00 |          8:57:00 |     60 |       0 |       12 |
|  ALICE/USDT |      1 |           1.00 |           1.00 |             1.000 |           0.10 |          2:05:00 |      1 |       0 |        0 |
|  ALPHA/USDT |     23 |          -0.23 |          -5.36 |            -5.370 |          -0.54 |          3:35:00 |     18 |       0 |        5 |
|   ANKR/USDT |     39 |           0.69 |          26.72 |            26.750 |           2.68 |          2:44:00 |     34 |       0 |        5 |
|    ANT/USDT |     45 |           0.34 |          15.32 |            15.331 |           1.53 |          6:00:00 |     40 |       0 |        5 |
|   ARDR/USDT |     68 |           0.56 |          38.14 |            38.182 |           3.82 |          8:53:00 |     62 |       0 |        6 |
|   ARPA/USDT |     66 |           0.49 |          32.58 |            32.616 |           3.26 |          7:21:00 |     59 |       0 |        7 |
|    ASR/USDT |     10 |           1.26 |          12.58 |            12.590 |           1.26 |          1:48:00 |      9 |       0 |        1 |
|    ATM/USDT |     13 |           0.73 |           9.51 |             9.516 |           0.95 |          3:27:00 |     11 |       0 |        2 |
|   ATOM/USDT |     58 |           0.08 |           4.54 |             4.545 |           0.45 |          7:47:00 |     48 |       0 |       10 |
|  AUDIO/USDT |     22 |          -0.58 |         -12.86 |           -12.872 |          -1.29 |          5:17:00 |     18 |       0 |        4 |
|    AVA/USDT |     38 |           0.19 |           7.35 |             7.360 |           0.74 |          4:15:00 |     34 |       0 |        4 |
|   AVAX/USDT |     23 |          -0.03 |          -0.73 |            -0.726 |          -0.07 |          9:35:00 |     16 |       0 |        7 |
