Result for strategy Quickie
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    MTL/USDT |     51 |           0.17 |           8.81 |             8.818 |           0.88 |  1 day, 11:36:00 |     48 |       0 |        3 |
|   NANO/USDT |     49 |           0.66 |          32.25 |            32.286 |           3.23 |         20:02:00 |     48 |       0 |        1 |
|    NBS/USDT |     54 |           0.43 |          23.32 |            23.348 |           2.33 |          6:29:00 |     52 |       0 |        2 |
|   NEAR/USDT |     29 |           1.33 |          38.55 |            38.593 |           3.86 |         10:52:00 |     29 |       0 |        0 |
|    NEO/USDT |     26 |           1.23 |          31.97 |            31.999 |           3.20 |         13:11:00 |     26 |       0 |        0 |
|    NKN/USDT |     66 |           0.23 |          15.09 |            15.100 |           1.51 |         14:39:00 |     63 |       0 |        3 |
|    NMR/USDT |     57 |           1.14 |          64.89 |            64.953 |           6.50 |          6:39:00 |     56 |       0 |        1 |
|   NPXS/USDT |     46 |           0.77 |          35.41 |            35.446 |           3.54 |   1 day, 5:02:00 |     45 |       0 |        1 |
|   NULS/USDT |     58 |           0.71 |          41.22 |            41.262 |           4.13 |   1 day, 2:28:00 |     56 |       0 |        2 |
|  OCEAN/USDT |     51 |           0.15 |           7.78 |             7.786 |           0.78 |         20:33:00 |     48 |       0 |        3 |
|     OG/USDT |     40 |           0.53 |          21.26 |            21.280 |           2.13 |         11:22:00 |     38 |       0 |        2 |
|    OGN/USDT |     53 |          -0.12 |          -6.62 |            -6.631 |          -0.66 |         11:58:00 |     50 |       0 |        3 |
|     OM/USDT |      3 |           2.57 |           7.70 |             7.703 |           0.77 |          5:15:00 |      3 |       0 |        0 |
|    OMG/USDT |     31 |           0.32 |           9.92 |             9.932 |           0.99 |   1 day, 0:24:00 |     29 |       0 |        2 |
|    ONE/USDT |     63 |           0.92 |          57.96 |            58.020 |           5.80 |         16:35:00 |     62 |       0 |        1 |
|    ONG/USDT |     40 |          -0.26 |         -10.60 |           -10.606 |          -1.06 |  2 days, 0:00:00 |     38 |       0 |        2 |
