Result for strategy ClucMay72018
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|   STPT/USDT |     79 |          -0.35 |         -27.92 |           -27.943 |          -2.79 |        0:35:00 |     56 |       0 |       23 |
|  STRAX/USDT |     38 |           0.26 |           9.88 |             9.890 |           0.99 |        0:30:00 |     30 |       0 |        8 |
|    STX/USDT |     61 |           0.33 |          20.39 |            20.406 |           2.04 |        0:27:00 |     51 |       0 |       10 |
|    SUN/USDT |     23 |           0.29 |           6.71 |             6.714 |           0.67 |        0:28:00 |     18 |       0 |        5 |
|  SUPER/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |      0 |       0 |        0 |
|   SUSD/USDT |      1 |           1.00 |           1.00 |             1.000 |           0.10 |        0:05:00 |      1 |       0 |        0 |
|  SUSHI/USDT |    135 |           0.11 |          14.95 |            14.966 |           1.50 |        0:10:00 |    114 |       0 |       21 |
|    SXP/USDT |    127 |           0.22 |          27.51 |            27.539 |           2.75 |        0:13:00 |    107 |       0 |       20 |
|    TCT/USDT |    101 |          -0.04 |          -4.22 |            -4.221 |          -0.42 |        0:28:00 |     79 |       0 |       22 |
|  TFUEL/USDT |    108 |           0.10 |          10.98 |            10.988 |           1.10 |        0:18:00 |     88 |       0 |       20 |
|  THETA/USDT |     52 |          -0.17 |          -9.01 |            -9.019 |          -0.90 |        0:14:00 |     41 |       0 |       11 |
|   TOMO/USDT |    113 |           0.12 |          13.21 |            13.225 |           1.32 |        0:20:00 |     91 |       0 |       22 |
|    TRB/USDT |     95 |          -0.05 |          -4.73 |            -4.738 |          -0.47 |        0:22:00 |     71 |       0 |       24 |
|   TROY/USDT |     97 |           0.31 |          30.07 |            30.099 |           3.01 |        0:27:00 |     81 |       0 |       16 |
|    TRU/USDT |     17 |           0.14 |           2.33 |             2.329 |           0.23 |        0:28:00 |     14 |       0 |        3 |
|    TRX/USDT |     28 |           0.04 |           1.13 |             1.131 |           0.11 |        0:21:00 |     23 |       0 |        5 |
|    TWT/USDT |     29 |           0.92 |          26.63 |            26.661 |           2.67 |        0:13:00 |     28 |       0 |        1 |
|    UMA/USDT |     30 |          -0.36 |         -10.68 |           -10.692 |          -1.07 |        0:33:00 |     21 |       0 |        9 |
|   UNFI/USDT |    102 |           0.31 |          31.27 |            31.297 |           3.13 |        0:14:00 |     88 |       0 |       14 |
|    UNI/USDT |     53 |          -0.30 |         -16.14 |           -16.160 |          -1.62 |        0:28:00 |     40 |       0 |       13 |
|    UTK/USDT |     36 |           0.50 |          17.89 |            17.905 |           1.79 |        0:29:00 |     31 |       0 |        5 |
|    VET/USDT |     35 |           0.61 |          21.26 |            21.281 |           2.13 |        0:19:00 |     31 |       0 |        4 |
|   VITE/USDT |     70 |           0.08 |           5.42 |             5.425 |           0.54 |        0:28:00 |     58 |       0 |       12 |
|   VTHO/USDT |     95 |           0.58 |          55.18 |            55.237 |           5.52 |        0:11:00 |     88 |       0 |        7 |
|    WAN/USDT |     44 |           0.43 |          19.02 |            19.036 |           1.90 |        0:25:00 |     39 |       0 |        5 |
|  WAVES/USDT |     34 |           0.03 |           1.19 |             1.190 |           0.12 |        0:17:00 |     28 |       0 |        6 |
|    WIN/USDT |     48 |           0.23 |          10.83 |            10.845 |           1.08 |        0:17:00 |     40 |       0 |        8 |
|   WING/USDT |    140 |          -0.07 |          -9.56 |            -9.573 |          -0.96 |        0:20:00 |    112 |       0 |       28 |
|   WNXM/USDT |     55 |          -0.43 |         -23.53 |           -23.558 |          -2.36 |        0:27:00 |     38 |       0 |       17 |
|    WRX/USDT |     44 |           0.22 |           9.60 |             9.609 |           0.96 |        0:14:00 |     38 |       0 |        6 |
|    WTC/USDT |     55 |           0.32 |          17.48 |            17.500 |           1.75 |        0:23:00 |     45 |       0 |       10 |
|    XEM/USDT |     46 |          -0.10 |          -4.39 |            -4.397 |          -0.44 |        0:14:00 |     38 |       0 |        8 |
|    XLM/USDT |     42 |          -0.28 |         -11.78 |           -11.795 |          -1.18 |        0:16:00 |     33 |       0 |        9 |
|    XMR/USDT |      8 |          -1.32 |         -10.57 |           -10.585 |          -1.06 |        0:26:00 |      5 |       0 |        3 |
|    XRP/USDT |     87 |          -0.13 |         -11.52 |           -11.536 |          -1.15 |        0:10:00 |     69 |       0 |       18 |
|    XTZ/USDT |     23 |           0.54 |          12.48 |            12.497 |           1.25 |        0:14:00 |     20 |       0 |        3 |
|    XVS/USDT |    143 |           0.32 |          45.41 |            45.452 |           4.55 |        0:13:00 |    124 |       0 |       19 |
|    YFI/USDT |     98 |           0.43 |          42.12 |            42.157 |           4.22 |        0:15:00 |     88 |       0 |       10 |
|   YFII/USDT |     84 |           0.00 |           0.42 |             0.420 |           0.04 |        0:18:00 |     70 |       0 |       14 |
|    ZEC/USDT |     23 |           0.73 |          16.79 |            16.805 |           1.68 |        0:13:00 |     22 |       0 |        1 |
|    ZEN/USDT |     52 |          -0.01 |          -0.55 |            -0.554 |          -0.06 |        0:16:00 |     42 |       0 |       10 |
|    ZIL/USDT |     71 |           0.14 |          10.26 |            10.271 |           1.03 |        0:19:00 |     58 |       0 |       13 |
|    ZRX/USDT |     26 |           0.79 |          20.64 |            20.659 |           2.07 |        0:15:00 |     24 |       0 |        2 |
|       TOTAL |  13653 |           0.14 |        1922.40 |          1924.320 |         192.43 |        0:19:00 |  11240 |       0 |     2413 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|           roi |   10906 |  10906 |       0 |        0 |           1    |       10921.8  |         10932.7   |         436.87 |
|     stop_loss |    1581 |      0 |       0 |     1581 |          -5.19 |       -8205.09 |         -8213.3   |        -328.2  |
|   sell_signal |    1166 |    334 |       0 |      832 |          -0.68 |        -794.33 |          -795.124 |         -31.77 |
======================================================== LEFT OPEN TRADES REPORT ========================================================
|   Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|--------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  TOTAL |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |      0 |       0 |        0 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 11:40:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 13653               |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 2924.320 USDT       |
| Absolute profit       | 1924.320 USDT       |
| Total profit %        | 192.43%             |
| Trades per day        | 37.41               |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 1365300.000 USDT    |
|                       |                     |
| Best Pair             | BAND/USDT 78.64%    |
| Worst Pair            | AUDIO/USDT -41.31%  |
| Best trade            | MDT/USDT 2.76%      |
| Worst trade           | OGN/USDT -5.19%     |
| Best day              | 87.332 USDT         |
| Worst day             | -200.526 USDT       |
| Days win/draw/lose    | 265 / 9 / 92        |
| Avg. Duration Winners | 0:11:00             |
| Avg. Duration Loser   | 0:54:00             |
|                       |                     |
| Min balance           | 967.160 USDT        |
| Max balance           | 2957.788 USDT       |
| Drawdown              | 455.99%             |
| Drawdown              | 456.443 USDT        |
| Drawdown high         | 702.009 USDT        |
| Drawdown low          | 245.566 USDT        |
| Drawdown Start        | 2020-09-02 11:05:00 |
| Drawdown End          | 2020-10-28 18:00:00 |
| Market change         | 1156.4%             |
===============================================

