Result for strategy ADXMomentum
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|    MKR/USDT |     49 |          -0.28 |         -13.55 |           -13.566 |          -1.36 |         3:55:00 |     44 |       0 |        5 |
|    MTL/USDT |     97 |           0.49 |          47.30 |            47.351 |           4.74 |         8:49:00 |     91 |       0 |        6 |
|   NANO/USDT |     78 |          -0.35 |         -26.97 |           -26.999 |          -2.70 |         6:15:00 |     70 |       0 |        8 |
|    NBS/USDT |     45 |          -0.48 |         -21.55 |           -21.575 |          -2.16 |         4:08:00 |     42 |       0 |        3 |
|   NEAR/USDT |     52 |          -1.30 |         -67.54 |           -67.609 |          -6.76 |         7:14:00 |     44 |       0 |        8 |
|    NEO/USDT |     55 |          -0.04 |          -2.41 |            -2.410 |          -0.24 |         5:23:00 |     49 |       0 |        6 |
|    NKN/USDT |    130 |           0.10 |          13.14 |            13.157 |           1.32 |         5:53:00 |    118 |       0 |       12 |
|    NMR/USDT |     74 |           0.13 |           9.44 |             9.452 |           0.95 |         8:26:00 |     71 |       0 |        3 |
|   NPXS/USDT |     63 |          -0.73 |         -46.02 |           -46.069 |          -4.61 |        14:50:00 |     55 |       0 |        8 |
|   NULS/USDT |     81 |           0.29 |          23.87 |            23.897 |           2.39 |         7:47:00 |     76 |       0 |        5 |
|  OCEAN/USDT |     23 |           1.00 |          22.98 |            23.000 |           2.30 |         2:23:00 |     23 |       0 |        0 |
|     OG/USDT |     21 |          -0.45 |          -9.51 |            -9.515 |          -0.95 |        12:31:00 |     19 |       0 |        2 |
|    OGN/USDT |     90 |          -0.20 |         -17.82 |           -17.839 |          -1.78 |         4:57:00 |     82 |       0 |        8 |
|     OM/USDT |      2 |           1.00 |           2.00 |             2.000 |           0.20 |         0:00:00 |      2 |       0 |        0 |
|    OMG/USDT |     95 |           0.52 |          49.86 |            49.912 |           4.99 |         5:57:00 |     92 |       0 |        3 |
|    ONE/USDT |     72 |          -0.02 |          -1.49 |            -1.489 |          -0.15 |         9:27:00 |     66 |       0 |        6 |
|    ONG/USDT |    130 |           0.08 |          10.20 |            10.215 |           1.02 |        11:04:00 |    120 |       0 |       10 |
|    ONT/USDT |     51 |           0.45 |          23.00 |            23.025 |           2.30 |         6:31:00 |     48 |       0 |        3 |
|    ORN/USDT |     29 |           0.53 |          15.31 |            15.330 |           1.53 |         4:27:00 |     27 |       0 |        2 |
|    OXT/USDT |     46 |          -0.33 |         -15.02 |           -15.036 |          -1.50 |         5:37:00 |     42 |       0 |        4 |
|   PAXG/USDT |      4 |           1.00 |           4.00 |             4.000 |           0.40 |  1 day, 4:30:00 |      4 |       0 |        0 |
|   PERL/USDT |    106 |           0.10 |          11.04 |            11.054 |           1.11 |         5:24:00 |    101 |       0 |        5 |
|   PERP/USDT |      1 |           1.00 |           1.00 |             1.000 |           0.10 |         7:00:00 |      1 |       0 |        0 |
