Result for strategy BbandRsi
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|   COTI/USDT |      8 |           5.45 |          43.63 |            43.674 |           4.37 |   3 days, 6:30:00 |      6 |       0 |        2 |
|    CRV/USDT |     14 |          -5.23 |         -73.17 |           -73.241 |          -7.32 |    1 day, 3:26:00 |      8 |       0 |        6 |
|    CTK/USDT |      6 |           4.13 |          24.80 |            24.825 |           2.48 |   2 days, 1:20:00 |      5 |       0 |        1 |
|   CTSI/USDT |      8 |           1.21 |           9.64 |             9.650 |           0.96 |  2 days, 14:38:00 |      6 |       0 |        2 |
|   CTXC/USDT |     16 |           5.76 |          92.11 |            92.206 |           9.22 |   4 days, 8:45:00 |     14 |       0 |        2 |
|    CVC/USDT |     11 |           3.04 |          33.44 |            33.471 |           3.35 |   2 days, 1:16:00 |      9 |       0 |        2 |
|   DASH/USDT |     11 |           0.82 |           9.01 |             9.022 |           0.90 |  4 days, 19:27:00 |      8 |       0 |        3 |
|   DATA/USDT |     14 |           3.28 |          45.98 |            46.027 |           4.60 |  2 days, 21:00:00 |     11 |       0 |        3 |
|    DCR/USDT |      5 |           3.65 |          18.26 |            18.283 |           1.83 |   3 days, 9:00:00 |      4 |       0 |        1 |
|   DEGO/USDT |      2 |           9.99 |          19.98 |            20.000 |           2.00 |          21:30:00 |      2 |       0 |        0 |
|   DENT/USDT |      2 |           4.43 |           8.86 |             8.868 |           0.89 |   2 days, 8:00:00 |      1 |       0 |        1 |
|    DGB/USDT |      8 |           5.87 |          46.94 |            46.984 |           4.70 |   3 days, 5:30:00 |      7 |       0 |        1 |
|    DIA/USDT |      4 |           9.99 |          39.96 |            40.000 |           4.00 |          21:45:00 |      4 |       0 |        0 |
|    DNT/USDT |      3 |           9.99 |          29.97 |            30.000 |           3.00 |   3 days, 6:00:00 |      3 |       0 |        0 |
|   DOCK/USDT |      8 |           1.08 |           8.66 |             8.669 |           0.87 |  2 days, 20:15:00 |      5 |       0 |        3 |
|   DODO/USDT |      2 |           0.56 |           1.12 |             1.121 |           0.11 |  2 days, 13:30:00 |      1 |       0 |        1 |
|   DOGE/USDT |     13 |           3.28 |          42.62 |            42.663 |           4.27 |  5 days, 20:37:00 |     11 |       0 |        2 |
|    DOT/USDT |      7 |          -0.75 |          -5.28 |            -5.283 |          -0.53 |  2 days, 19:26:00 |      4 |       0 |        3 |
|   DREP/USDT |     11 |           6.89 |          75.74 |            75.817 |           7.58 |  3 days, 11:55:00 |     10 |       0 |        1 |
|   DUSK/USDT |      8 |           2.89 |          23.10 |            23.123 |           2.31 |  3 days, 12:22:00 |      6 |       0 |        2 |
|   EGLD/USDT |      6 |          -5.51 |         -33.05 |           -33.079 |          -3.31 |  3 days, 20:50:00 |      3 |       0 |        3 |
|    ENJ/USDT |      8 |           4.99 |          39.91 |            39.952 |           4.00 |  4 days, 20:00:00 |      6 |       0 |        2 |
|    EOS/USDT |     12 |           3.92 |          47.02 |            47.068 |           4.71 |   4 days, 6:45:00 |     10 |       0 |        2 |
