Result for strategy AverageStrategy
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|  SUSHI/USDT |      7 |          13.62 |          95.34 |            95.436 |           9.54 | 2 days, 19:26:00 |      4 |       0 |        3 |
|    SXP/USDT |      4 |          -5.99 |         -23.94 |           -23.968 |          -2.40 | 2 days, 14:00:00 |      2 |       0 |        2 |
|    TCT/USDT |      8 |          -5.21 |         -41.68 |           -41.724 |          -4.17 |  1 day, 10:00:00 |      1 |       0 |        7 |
|  TFUEL/USDT |     12 |           9.15 |         109.78 |           109.894 |          10.99 |  2 days, 8:00:00 |      4 |       0 |        8 |
|  THETA/USDT |      7 |          18.09 |         126.65 |           126.780 |          12.68 | 5 days, 14:17:00 |      5 |       0 |        2 |
|   TOMO/USDT |     10 |          -5.36 |         -53.59 |           -53.646 |          -5.36 |  2 days, 6:24:00 |      3 |       0 |        7 |
|    TRB/USDT |      5 |           3.04 |          15.21 |            15.222 |           1.52 | 2 days, 14:24:00 |      1 |       0 |        4 |
|   TROY/USDT |      9 |           2.13 |          19.15 |            19.172 |           1.92 |  3 days, 1:47:00 |      3 |       0 |        6 |
|    TRU/USDT |      1 |           2.46 |           2.46 |             2.462 |           0.25 |  3 days, 8:00:00 |      1 |       0 |        0 |
|    TRX/USDT |     12 |           2.27 |          27.20 |            27.232 |           2.72 | 3 days, 17:00:00 |      4 |       0 |        8 |
|    TWT/USDT |      1 |           8.10 |           8.10 |             8.107 |           0.81 |  7 days, 8:00:00 |      1 |       0 |        0 |
|    UMA/USDT |      4 |          -8.63 |         -34.52 |           -34.551 |          -3.46 |  2 days, 9:00:00 |      0 |       0 |        4 |
|   UNFI/USDT |      4 |           9.71 |          38.83 |            38.865 |           3.89 |  2 days, 4:00:00 |      2 |       0 |        2 |
|    UNI/USDT |      5 |          -2.17 |         -10.86 |           -10.871 |          -1.09 | 2 days, 16:00:00 |      1 |       0 |        4 |
|    UTK/USDT |      4 |          -3.06 |         -12.25 |           -12.265 |          -1.23 | 4 days, 18:00:00 |      2 |       0 |        2 |
|    VET/USDT |      5 |          -5.08 |         -25.39 |           -25.413 |          -2.54 |  2 days, 4:48:00 |      0 |       0 |        5 |
|   VITE/USDT |     10 |          -4.02 |         -40.23 |           -40.272 |          -4.03 |  1 day, 21:36:00 |      1 |       0 |        9 |
|   VTHO/USDT |      6 |          -2.86 |         -17.13 |           -17.151 |          -1.72 |         19:20:00 |      0 |       0 |        6 |
|    WAN/USDT |      9 |           2.30 |          20.72 |            20.745 |           2.07 | 2 days, 12:53:00 |      1 |       0 |        8 |
|  WAVES/USDT |      8 |          -2.96 |         -23.64 |           -23.664 |          -2.37 | 2 days, 15:30:00 |      1 |       0 |        7 |
